eng,sim,tra
"Tornadoes strike a small area compared to other violent storms, but they can destroy everything in their path.",与其他猛烈的风暴相比，龙卷风袭击的区域较小，但可以摧毁途经的一切。,龍捲風與其他猛烈的風暴相比，侵襲的範圍較小，但它們能夠摧毀所有它們所經之處的東西。
"Tornadoes uproot trees, rip boards from buildings, and fling cars up into the sky. The most violent two percent of tornadoes last more than three hours.",龙卷风能将树木连根拔起，将建筑物上的木板撕下，把汽车抛向天空。龙卷风中的百分之二最为猛烈，能持续肆虐三小时以上。,龍捲風能將樹連根拔起，將建築物上的木板扯掉，並將車輛拋向空中。龍捲風之中最猛烈的 2% 能持續超過 3 小時。
These monster storms have winds up to 480 km/h (133 m/s; 300 mph).,这些怪物般的风暴，风速高达每小时 480 公里（133 m/s; 300 mph）。,這些怪獸風暴的風速高達每小時 480 公里（每秒 133 公尺；每小時 300 英里）。
Humans have been making and using lenses for magnification for thousands and thousands of years.,几千年来，人类一直在制作和使用放大镜。,人類幾千年來一直在製造透鏡，並使用它的放大功能。
"However, the first true telescopes were made in Europe in the late 16th century.",然而，第一个真正的望远镜是 16 世纪晚期在欧洲制造的。,但第一架真正的望遠鏡是 16 世紀末才在歐洲被製造出來的。
These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.,这些望远镜使用了两个透镜的组合，使远处的物体看起来既近又大。,這些望遠鏡使用兩個鏡片，讓遠方的物體顯得更近且更大。
Greed and selfishness will always be with us and it is the nature of cooperation that when the majority benefit there will always be more to gain in the short term by acting selfishly,贪婪和自私永远与我们同在，合作的本质就是当大多数人受益时，短期的自私行为总能带来更多利益,我們將永遠無法擺脫貪婪與自私。合作的本質就是當大多數人受益時，自私的行為在短期總能得到更多利益。
"Hopefully, most people will realise that their long term best option is to work together with others.",希望大多数人都能意识到，从长远来看，与他人合作才是最佳选择。,希望多數人終將明白他們長期的最佳選擇是與他人合作。
"Many people dream of the day when humans can travel to another star and explore other worlds, some people wonder what's out there some belive that aliens or other life may live on another plant.",许多人梦想着人类有一天可以移民到其他星球，探索其他世界。有些人想知道宇宙有什么；有些人相信其他行星上可能有外星人或其他生命。,許多人夢想著有一天，人類能到達另一個星球，探索其他嶄新的世界；有些人對太陽系外的事物感到好奇；有些則相信外星人或其他形式的生命可能存在於另一顆星球之上。
"But, if this ever does happen probably won't happen for a very long time. The stars are so spread out that there are trillions of miles between stars that are ""neighbors"".",但如果这种情况真的发生了，那么它很可能在很长一段时间内都不会再发生了。这些恒星非常分散，“相邻”的恒星相隔数万亿英里。,但是，如果這確實發生過，那麼可能很長一段時間內都不會再發生。天體分散得如此之廣，以至於「比鄰」天體就相隔了數兆英里。
"Maybe one day, your great grandchildren will be standing atop an alien world wondering about their ancient ancestors?",也许有一天，你的子孙后代会生活在外星世界，猜测着他们远古的祖先当时过得是怎样的一种生活。,或許未來的某一天，你的曾孫會在站在外星人的世界中，好奇自己的祖先是誰？
Animals are made of many cells. They eat things and digest them inside. Most animals can move.,动物由许多细胞组成。动物吃了食物后会在体内将其消化。大部分动物都能移动。,動物由眾多細胞構成。牠們吃東西並在體內消化。多數動物都能移動。
"Only animals have brains (though not even all animals do; jellyfish, for example, do not have brains).",只有动物有脑（但也不是所有动物都有，比如水母就没有脑）。,只有動物有大腦（然而甚至不是所有動物都有；例如水母就沒有大腦）。
"Animals are found all over the earth. They dig in the ground, swim in the oceans, and fly in the sky.",地球上的各个角落都有动物的身影。它们有的在地下挖洞，有的在海洋中畅游，有的在天空中翱翔。,地球各處均能發現動物。牠們在地上挖洞、在海裡游泳、在空中飛翔。
A cell is the smallest structural and functional unit of a living (things) organism.,细胞是各类生物体中最小的结构和功能单位。,細胞是生命 (物) 有機體最小的構造單位和功能單位。
Cell comes from the Latin word cella which means small room.,Cell（细胞）一词源自拉丁语cella（意思是小房间）。,細胞一詞來自拉丁文的 cella，意指小空間。
"If you look at living things under a microscope, you will see that they are made of small squares or balls.",在显微镜下观察生物，你会发现它们是由小方块或小球组成的。,如果你在顯微鏡下觀察生物，你會看到生物是由小方塊或小圓球組成。
"Robert Hooke, a biologist from England, saw small squares in cork with a microscope.",来自英国的生物学家罗伯特·胡克 (Robert Hooke) 用显微镜看到了软木塞中藏有一些小方块。,英國生物學家羅伯‧虎克透過顯微鏡觀察到軟木塞中的小方塊。
They looked like rooms. He was the first person to observe dead cells,它们看上去像房间。他是第一个观察死亡细胞的人,它們看起來像一個個房間。他是首位觀察到死亡細胞的人。
Elements and compounds can move from one state to another and not change.,元素和化合物可以在发生化学变化的情况下改变物态。,元素和化合物可以從一種狀態移動到另外一種狀態時，而本質不會產生變化。
Nitrogen as a gas still has the same properties as liquid nitrogen. The liquid state is denser but the molecules are still the same.,气态氮仍具有与液态氮相同的性质。液态氮的密度更大，但是分子还是一样的。,氮在氣態之下，仍然與液態氮具有相同的性質。儘管液態密度較高，但兩者分子組成是一樣的。
Water is another example. The compound water is made up of two hydrogen atoms and one oxygen atom.,另一个例子是水。化合物水是由两个氢原子和一个氧原子组成的。,水是另一個例子。水是由兩個氫原子和一個氧原子組成的。
"It has the same molecular structure whether it is a gas, liquid, or solid.",无论是气体、液体还是固体，它的分子结构都是一样的。,不論是氣體、液體或固體型態，都有相同的分子結構。
"Although its physical state may change, its chemical state remains the same.",虽然它的物理状态可能会改变，但化学状态保持不变。,雖然它的物理狀態可能會改變，但它的化學狀態依舊不變。
"Time is something that is all around us, and affects everything we do, yet is difficult to understand.",时间就在我们身边，影响着我们做的每一件事，但却很难理解。,時間就在我們周圍，影響著我們所做的一切，但又很難理解。
"Time has been studied by religious, philosophical, and scientific scholars for thousands of years.",数千年来，时间一直是宗教、哲学和科学学者的研究对象。,數千年來，宗教、哲學與科學學者都在研究時間。
We experience time as a series of events passing from the future through the present to the past.,我们所经历的时间是一系列从未来到现在再到过去的事件。,我們是以從未來到現在、再到過去的一連串事件來感知時間。
Time is also how we compare the duration (length) of events.,时间也是我们用来比较事件持续时间（长度）的方式。,時間也是我們比對事件持續期間（長度）的方式。
You can mark the passing of time yourself by observing the repetition of a cyclical event. A cyclical event is something that happens again and again regularly.,你可以通过观察重复的周期性事件来记录时间的流逝。周期性事件是指有规律地一次又一次发生的事。,可透過觀察重複的週期性事件來標記自己的時間流逝。週期性事件指的是定期不斷重複發生的事。
Computers today are used to manipulate pictures and videos.,今天，我们使用计算机处理图片和视频。,現在都用電腦來修改照片和影片。
"Sophisticated animations can be constructed on computers, and this kind of animation is increasingly being used in television and films.",复杂的动画可以在计算机上构建，这种类型的动画正越来越多地应用于电视和电影。,我們可以用電腦做出精緻複雜的動畫，這種動畫越來越常出現在電視與電影上。
Music is often recorded using sophisticated computers to process and mix sounds together.,录制音乐时往往用复杂的计算机来处理，并把声音混合在一起。,音樂錄製的方式，通常是以精密的電腦處理並進行混音。
"For a long time during the nineteenth and twentieth centuries, it was believed the first inhabitants of New Zealand were the Maori people, who hunted giant birds called moas.",在十九世纪和二十世纪很长一段时间，人们都认为新西兰的第一批居民是毛利人，他们猎取一种称为恐鸟的大型鸟类。,十九到二十世紀的很長一段時間，人們都相信紐西蘭的第一批居民是毛利人，他們會獵捕稱為恐鳥的巨鳥。
"The theory then established the idea that the Maori people migrated from Polynesia in a Great Fleet and took New Zealand from the Moriori, establishing an agricultural society.",然后该理论确立了这样一种观点：毛利人从波利尼西亚乘“大船”迁移，并从莫里奥里人手中夺取了新西兰，建立了一个农业社会。,該理論隨後確立一個觀點，認為毛利人乘坐大艦隊，自玻里尼西亞開始遷徙，然後從莫里奧里人手中奪取紐西蘭，並建立一個農業社會。
"However, new evidence suggests that the Moriori were a group of mainland Maori who migrated from New Zealand to the Chatham Islands, developing their own distinctive, peaceful culture.",但有新的证据表明，莫里奥里人属于大陆毛利人族群，他们从新西兰移居到查塔姆群岛，发展出了自己独特的崇尚和平的文化。,然而，新的證據指出，莫里奧里人是一個紐西蘭大陸的毛利人族群，他們從紐西蘭遷徙到查塔姆群島，發展出了自己獨特的和平文化。
There was also another tribe on the Chatham islands these were Maori who migrated away from New Zealand.,查塔姆群岛上还有另一个部落，他们是从新西兰移民过来的毛利人。,查塔姆群島上還有另一個部落，他們是從紐西蘭移民而來的毛利人。
"They called themselves the Moriori there were a few skirmishes and in the end, the Moriori were wiped out",他们自称莫里奥里人。发生过一些小冲突，最后莫里奥里人被消灭了,它們稱自己為莫里奧里人，之前發生了一些小衝突，而最終莫里奧里人被抹消了。
Individuals who had been involved for several decades helped us appreciate our strengths and passions while candidly assessing difficulties and even failures.,参与了几十年的人士帮助我们认识到自己的长处和热情所在，同时坦诚地评估困难，甚至是失败。,數十年來的長期參與者，可協助我們了解自己的長處和熱情，並坦誠評估自己的困境，甚至是失敗。
"While listening to individuals share their individual, family, and organizational stories, we gained valuable insight into the past and some of the personalities who influenced for good or ill the culture of the organization.",在听取别人分享他们个人、家庭和组织的故事时，我们对过去以及一些对组织文化有或好或坏影响的人物有了宝贵的认识。,聆聽個人分享自己、家庭和組織的故事時，我們會聽到寶貴的觀點，更深一層了解過去或對組織文化帶來正負面影響的人物。
"While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization.",虽然理解历史并不意味着理解文化，但至少可以帮助人们了解自己在组织历史中的位置。,儘管了解一個人的歷史並不代表了解文化，但這至少可以讓人理解他們在組織的歷史中處在什麼樣的位置上。
"While assessing the successes and becoming aware of failures, individuals and the whole of the participating persons discover more deeply the values, mission, and driving forces of the organization.",在总结成功和失败时，个人和所有参与者会对组织的价值观、使命和驱动力有更深刻的认识。,評估成功和漸漸意識到失敗的同時，個人和全體參與人員將更深入發現組織的價值、使命和驅動力。
"In this instance, recalling previous instances of entrepreneurial behavior and resulting successes helped people to be open to new changes and new direction for the local church.",在这种情况下，回顾之前的创业行为和取得的成功可以帮助人们对当地教会的新变化和新方向保持开放的态度。,在這種情況下，回想起過去的創業行為及成功經驗，可幫助人們樂於接受當地教會的新改變與新方向。
"Such success stories lessened the fears of change, while creating positive inclinations toward change in the future.",这样的成功故事让人们对变化的恐惧感减轻了，同时为未来的变革营造出正面的倾向。,這種成功故事可以減弱對於改變的恐懼，同時讓人更願意接受未來的改變。
Convergent thinking patterns are problem solving techniques that unite different ideas or fields to find a solution.,收敛思维模式是通过结合不同的想法或领域来寻找解决方案的问题解决技巧。,聚斂性思考模式是解決問題的技巧，透過結合不同的想法或領域來找出解決方法。
"The focus of this mindset is speed, logic and accuracy, also identification of facts, reapplying existing techniques, gathering information.",这种思维模式看重的是速度、逻辑和准确性，还有甄别事实、对现有技术的重新应用和信息收集。,這種思考模式的焦點在於快速、合邏輯和精確，以及辨別事實、重新應用既有的技術、收集資訊。
"The most important factor of this mindset is: there is only one correct answer. You only think of two answers, namely right or wrong.",这种思维模式最重要的因素是：正确答案只有一个。你只需考虑两个答案，即对的或者是错的。,這種心態最重要的特點就是只有一個正確答案。只考慮兩種解答，即對或不對。
This type of thinking is associated with certain science or standard procedures.,这种思维模式与某些科学或标准程序不无关联。,這種思維方式與特定的科學或標準程序有關。
"People with this type of thinking have logical thinking, are able to memorize patterns, solve problems and work on scientific tests.",这种思维类型的人具有逻辑思维，能够记得住模式、解决问题，还能进行科学测试。,這類思考模式的人擅邏輯，他們能記住模式、解決問題、進行科學測試。
Humans are by far the most talented species in reading the minds of others.,到目前为止，人类是最善于读懂他人心思的物种。,人類是目前為止最有能力揣摩他人心思的物種。
"That means we are able to successfully predict what other humans perceive, intend, believe, know or desire.",这意味着我们能够成功地预测其他人的感知、意图、信仰、知识或欲望。,這意味著我們能夠成功預測其他人類的感知、意圖、信仰、理解和渴望。
"Among these abilities, understanding the intention of others is crucial. It allows us to resolve possible ambiguities of physical actions.",在这些能力中，理解他人意图至关重要。我们可以凭借这一能力理解身体行为可能表达出的模棱两可的问题。,這些能力中，能夠了解他人的意圖至關重要。這個能力讓我們得以釐清身體動作可能帶有的含糊意義。
"For example, if you were to see someone breaking a car window, you would probably assume he was trying to steal a stranger’s car.",例如，如果你看到有人打破车窗，你很有可能会认为这个人在偷陌生人的汽车。,舉例來說，如果您看到某個人正在打破車窗，您可能會假定他正在偷陌生人的車。
He would need to be judged differently if he had lost his car keys and it was his own car that he was trying to break into.,如果他是丢了车钥匙，试图打开自己汽车的车门的话，那可能就要另当别论了。,如果他是遺失了自己的車鑰匙，並試著強行進入他自己的車子裡，那他應該受到不一樣的審判。
"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University).",磁共振成像依据的是一种叫核磁共振 (NMR) 的物理现象，它是费利克斯·布洛赫（在斯坦福大学工作）和爱德华·珀塞耳（来自哈佛大学）于 20 世纪 30 年代发现的。,磁振造影 (MRI) 的基礎是一種稱為核磁共振 (NMR) 的物理現象，該現像是由菲利克斯‧布洛赫（史丹佛大學）和愛德華‧珀塞爾（哈佛大學）在 1930 年代發現的。
"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.",在这种共振中，磁场和无线电波导致原子发出微弱的无线电信号。,共振時，磁場和無線電波會使原子發出微小的無線電信號。
"In the year 1970, Raymond Damadian, a medical doctor and research scientist, discovered the basis for using magnetic resonance imaging as a tool for medical diagnosis.",1970 年，医学博士兼研究科学家雷蒙德·达马迪安 (Raymond Damadian) 发现了使用磁共振成像作为医学诊断工具的基础原理。,1970 年，研究科學家雷蒙德．達馬迪安醫生發現了使用磁振造影作為醫療診斷工具的原理。
"Four years later a patent was granted, which was the world's first patent issued in the field of MRI.",四年后，一项专利获批准，这是世界上首个颁发的核磁共振领域专利。,四年後獲得一項專利，這是世界上第一個 MRI 領域的專利。
"In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.",1977 年，达马迪安（Damadian）博士完成了第一台 “全身” 核磁共振扫描仪的制造，他称之为 “不屈号”。,1977 年，達馬迪安醫生完成建造第一台「全身性」磁振造影掃描儀，他將之稱為「不屈者」。
Asynchronous communication encourages time for reflection and reaction to others.,异步通讯让人们有时间思考他人的反应并作出反应。,非同步交流讓我們有時間反思，思考如何回應他人。
It allows students the ability to work at their own pace and control the pace of instructional information.,这让学生能够按自己的节奏学习，并控制传授教学信息的节奏。,這讓學生得以按照自己的步調學習，並控制教學資訊的呈現速度。
"In addition, there are fewer time restrictions with the possibility of flexible working hours. (Bremer, 1998)",此外，由于可以实行弹性工作时间，时间上的限制也比较少。（布雷默，1998年）,而且時間限制較少，讓工作時間可以更加靈活。（布雷默，1998）
The use of the Internet and the World Wide Web allows learners to have access to information at all times.,学习者可以使用互联网和万维网随时获取信息。,網際網路和全球資訊網的使用，讓學習者無時無刻都能取得資訊。
"Students can also submit questions to instructors at any time of day and expect reasonably quick responses, rather than waiting until the next face-to-face meeting.",学生也可以在一天中的任何时间把问题提交给老师，并且可以预期得到合理时间内的快速回复，而不用一直等到下一次面谈。,學生也可以隨時提交問題給老師，並在合理時間內快速得到回覆，不必等到下一次面對面的會談。
The postmodern approach to learning offers the freedom from absolutes. There is no one good way to learn.,后现代主义学习方法给人带来绝对的自由。并没有一种学习方法是好的学习方法。,後現代的學習方法讓人能擺脫定則。學習的良方不只一種。
"In fact, there is not one good thing to learn.Learning takes place in the experience between the learner and the knowledge presented.",事实上，没有任何事情需要特意学习。在学习者体验到知识呈现的时候，学习的行为就发生了。,事實上，沒有什麼好事是特別要學習。學習發生在學習者與所呈現的知識間的經歷之中。
"Our current experience with all the do-it-yourself and information presenting, learning-based television shows illustrates this point.",目前我们对所有以 DIY 、展示信息以及以学习为主要内容的电视节目的体验，都说明了这一点。,從我們目前對 DIY 和資訊呈現的經驗來看，以教學為主的電視節目說明了這一點。
So many of us find ourselves watching a television show that informs us of a process or experience in which we will never participate or apply that knowledge.,我们中有很多人，都发现自己观看的电视节目在告诉我们某种过程或经验，但我们却永远不会参与或应用这些知识。,因此，許多人會發現自己在電視節目中看到的是我們永遠都不會參與或應用的程序或經驗，我們永遠都用不到那些知識。
"We will never overhaul a car, build a fountain in our backyard, travel to Peru to examine ancient ruins, or remodel our neighbour's house.",我们永远不会对汽车进行大修，不会在后院建喷泉，不会去秘鲁考察古代遗迹，也不会改造邻居的房子。,我們永遠不會去改造汽車、在後院蓋一座噴水池、去祕魯考察古代遺跡，或是翻修鄰居的房子。
"Thanks to undersea fiber optic cable links to Europe and broadband satellite, Greenland is well connected with 93% of the population having internet access.",多亏有了与欧洲相连的海底光缆和宽带卫星，格陵兰网络连接畅通，93% 的人口接入了互联网。,感謝連接到歐洲的海底光纖電纜和衛星寬頻，格陵蘭島上的網際網路非常發達，93% 人口皆能上網。
"Your hotel or hosts (if staying in a guesthouse or private home) will likely have wifi or an internet connected PC, and all settlements have an internet cafe or some location with public wifi.",你的酒店或房东（如果住在民宿或私人民宅）可能配有 wifi 或可联网的电脑。所有安置点都有一家网吧或有公共 wifi 的地方。,旅館或主人（如果住在民宿或私人住宅）應能提供 WiFi 或可上網電腦，且所有社區皆有網咖或部分提供 WiFi 的地點。
"As mentioned above, though the word ""Eskimo"" remains acceptable in the United States, it is considered pejorative by many non-U.S. Arctic peoples, especially in Canada.",正如上文所提，虽然“爱斯基摩人”这个词在美国仍然可以接受，但北极地区的许多非美籍人士，尤其是对加拿大人来说，他们都认为这个词带有贬义含义。,如上所述，雖然美國仍可接受「愛斯基摩人」一詞，但許多非美裔的北極地區人民，尤其是加拿大人，卻視之為貶義。
"While you may hear the word used by Greenlandic Natives, its use should be avoided by foreigners.",尽管你可能会听到格陵兰本地人用这个词，但外国人应该避免使用。,儘管你可能聽過格陵蘭島原住民使用這個詞，但外國人應該避免使用。
"The native inhabitants of Greenland call themselves Inuit in Canada and Kalaalleq (plural Kalaallit), a Greenlander, in Greenland.",在加拿大，格陵兰岛的土著居民称自己为因纽特人，在格陵兰岛则称自己为 Kalaalleq（复数为 Kalaallit），也就是“格陵兰人”的意思。,在加拿大的格陵蘭原住民自稱為因紐特人，在格陵蘭則自稱為「Kalaalleq」（複數為 Kalaallit），意指「格陵蘭人」。
"Crime, and ill-will toward foreigners in general, is virtually unknown in Greenland. Even in the towns, there are no ""rough areas.""",在格陵兰岛，针对外国人的犯罪和恶意行为总体来说几乎闻所未闻。即使在城镇里，也没有 “犯罪高发区”。,對外來客犯罪和抱持惡意，一般來說在格陵蘭簡直前所未聞，即使是鬧區也沒有「危險地帶」。
Cold weather is perhaps the only real danger the unprepared will face.,严寒也许是没有准备的人将面临的唯一真正的危险。,毫無準備的人唯一真正會遭遇的危險，也許就只有寒冷的天氣了。
"If you visit Greenland during cold seasons (considering that the further north you go, the colder it will be), it is essential to bring warm enough clothing.",如果你在寒冷的季节到访格陵兰岛（记住越往北走越冷），一定要带够保暖衣物。,如果你在寒冷季節造訪格陵蘭（愈往北走，天氣愈冷），一定要攜帶足以保暖的衣物。
The very long days in the summer can lead to problems getting sufficient sleep and associated health issues.,夏季漫长的白昼会导致睡眠不足和相关健康问题。,夏季漫長的白晝可能會導致難以獲得充足的睡眠等相關健康問題。
"During the summer, also watch out for the Nordic mosquitoes. Although they do not transmit any diseases, they can be irritating.",在夏季，也要注意北欧的蚊子。虽然这些蚊子不会传播任何疾病，但它们可能会让人感到不适。,在夏季期間，也要慎防北歐的蚊子。雖然它們不會傳播任何疾病，但會令人不堪其擾。
"While San Francisco's economy is linked to it being a world-class tourist attraction, its economy is diversified.",旧金山的经济与自身是世界级旅游胜地这一点有关，但旧金山的经济却是多元化的。,舊金山的經濟雖然與其身為世界級觀光景點息息相關，不過這裡的經濟活動其實非常多元。
"The largest employment sectors are professional services, government, finance, trade, and tourism.",就业最多的部门包括专业服务业、政府、金融、贸易和旅游业。,就業人口最多的領域為專業服務、公家機關、金融、貿易和觀光。
"Its frequent portrayal in music, films, literature and popular culture has helped make the city and its landmarks known throughout the world.",它经常出现在音乐、电影、文学和流行文化中，使得这座城市及其地标闻名于世。,音樂、電影、文學和流行文化中的頻繁描述使這座城市及其地標變得舉世聞名。
"San Francisco has developed a large tourist infrastructure with numerous hotels, restaurants, and top-notch convention facilities.",旧金山开发了一个规模庞大的旅游基础设施，内设多家酒店、餐厅和一流的会议场所。,舊金山發展出了大規模的觀光基礎建設，包括無數家飯店、餐廳，以及一流的會議設施。
"San Francisco is also one of the best places in the nation for other Asian cuisine: Korean, Thai, Indian, and Japanese.",旧金山也是在美国品尝韩国菜、泰国菜、印度菜和日本菜等其他亚洲菜的好去处。,舊金山也是國內品嘗韓國菜、泰國菜、印度菜和日本菜等其他亞洲料理的最佳去處之一。
Traveling to Walt Disney World represents a major pilgrimage for many American families.,对许多美国家庭来说，去迪斯尼乐园游玩是一场盛大的活动。,對很多美國家庭而言，前往迪士尼世界遊玩是心目中最重要的朝聖之旅。
"The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.",这一“典型”的游玩过程包括飞往奥兰多国际机场，乘车前往迪士尼园区酒店，在迪士尼游玩大约一周的时间，然后回家。,最「典型」的行程包括飛往奧蘭多國際機場、搭巴士前往迪士尼飯店、在迪士尼園區玩上一週後再回家。
"There are infinite variations possible, but this remains what most people mean when they talk of ""going to Disney World"".",迪士尼的玩法有无数种，但对大多数人来说，“去迪士尼乐园”就是这个意思。,雖然有數不盡的各種可能，但多數人提到「去迪士尼世界」指的仍是這個。
Many tickets sold online through auction websites such as eBay or Craigslist are partially used multi-day park-hopper tickets.,许多在 eBay 或 Craigslist 等拍卖网站上出售的门票都是部分使用过的多日通票。,許多在 eBay 或 Craigslist 等拍賣網站上賣出的票券，是已被使用過一部分的主題樂園多日聯票。
"While this is a very common activity, it is prohibited by Disney: the tickets are non-transferable.",虽然这是一种很常见的行为，但迪士尼却禁止这样做：门票是不可转让的。,儘管這是很常見的情況，但迪士尼禁止這種行為，因為門票是不可轉讓的。
Any camping below the rim in Grand Canyon requires a backcountry permit.,需要获得野营许可证才可以在大峡谷边缘的下方露营。,必須具備野地許可證，才能在大峽谷邊緣之下的位置露營。
"Permits are limited to protect the canyon, and become available on the 1st day of the month, four months prior to the start month.",为了保护大峡谷，许可证限量发放。按启程月份算起提前四个月，在该月的第一天开始发放。,為了保護峽谷，許可證的數量有限，每月 1 號可申請四個月後的起程月許可證。
"Thus, a backcountry permit for any start date in May becomes available on 1 Jan.",因此，如果启程日期为 5 月，野地露营许可证将在 1 月 1 日发放。,因此，5 月任一日期的偏遠地許可會在 1 月 1 日開放申請。
"Space for the most popular areas, such as the Bright Angel Campground adjacent to Phantom Ranch, generally fill up by the requests received on first date they are opened to reservations.",最受欢迎的区域比如幽灵牧场 (Phantom Ranch) 附近的光明天使 (Bright Angel) 露营地，通常在第一天开放预订时就会收到满额预订申请。,比鄰幻影牧場的光耀天使營地等最熱門的營位區通常在開放預約申請的第一天就滿額了。
"There are a limited number permits reserved for walk-in requests available on a first come, first served basis.",对于未经预约的到访，许可证的预留数量有限，并按先到先得的原则提供许可证。,現場登記的名額有限，採先到先得制。
Entering Southern Africa by car is an amazing way to see all the region's beauty as well as to get to places off the normal tourist routes.,南部非洲非常适合开车旅行，游客既可以欣赏该地区的所有美景，又可以到达常规旅游路线之外的地方。,開車進入南部非洲是一種很好的方式，能看見該地區的所有美景，也能到達一般旅遊路線以外的地方。
This can be done in a normal car with careful planning but a 4x4 is highly advised and many locations are only accessible with a high wheel base 4x4.,只要细心规划，普通汽车就能做到，但强烈建议使用四驱汽车，而且许多地方只有大轴距四驱汽车才能通过。,透過仔細規劃，乘坐普通車輛也能做到，但強烈建議選擇四輪傳動車，而且許多地點只有高軸距的四輪傳動車才能抵達。
Keep in mind while planning that although Southern Africa is stable not all neighboring countries are.,规划期间，请记住，虽然南部非洲处于稳定状态，但并非所有邻国亦然。,規劃時請牢記在心，南非雖然安定，但並非所有鄰國都如此。
Visa requirements and costs vary from nation to nation and are affected by the country you come from.,签证要求和费用因国家/地区而异，并会受到你的国籍的影响。,各國的簽證要求和費用不盡相同，也會跟所屬國家或地區有關。
Each country also has unique laws requiring what emergency items need to be in the car.,每个国家/地区都立有专门法律，对务必放在车内的紧急物品进行了规定。,每個國家也有各自的法律，要求車內必須放置哪些緊急物品。
"Victoria Falls is a town in the western portion of Zimbabwe, across the border from Livingstone, Zambia, and near Botswana.",维多利亚瀑布镇是津巴布韦西部的一个小镇，与赞比亚的利文斯通接壤，靠近博茨瓦纳。,維多利亞瀑布鎮位在辛巴威西部，鄰近尚比亞邊境的利文斯頓，也很靠近波札那。
"The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.",该镇紧邻瀑布，瀑布是主要的景点，但这个热门的旅游目的地为探险者和观光者提供了可以久住的大量机会。,這個城鎮緊鄰著瀑布，瀑布是主要的景點，但此熱門的旅遊地點，為探險家和觀光客皆提供了許多長期停留的機會。
"In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.",在雨季（11 月至 3 月），水量会更高，瀑布也更加湍急。,雨季（十一月至三月）水量會高出許多，瀑布會更加壯觀。
You are guaranteed to get wet if you cross the bridge or walk along the trails winding near the Falls.,如果你过桥或沿着瀑布附近蜿蜒的小径走，肯定会被弄湿。,如果過橋或沿著瀑布旁的蜿蜒的小徑行走，保證你一定會被淋濕。
"On the other hand, it is precisely because the volume of water is so high that your viewing of the actual Falls will be obscured—by all the water!",另一方面，恰恰因为水量太大，视线会被水挡住，看不到完整的瀑布！,不過，正因為水量太大，觀看瀑布本身的視線會被大量的水遮蔽！
"Tomb of Tutankhamun (KV62). KV62 may be the most famous of the tombs in the Valley, the scene of Howard Carter's 1922 discovery of the almost intact royal burial of the young king.",图坦卡蒙墓 (KV62)。 KV62 可能是山谷中最著名的墓葬。霍华德·卡特在 1922 年发现了这位年轻国王近乎完整的皇家墓葬。,圖坦卡門之墓 (KV62)。KV62 可能是山谷中最有名的墳墓了，它是霍華德·卡特在 1922 年發現的景象──年輕國王埋葬的地方、幾乎絲毫不受損壞的皇陵。
"Compared to most of the other royal tombs, however, the tomb of Tutankhamun is barely worth visiting, being much smaller and with limited decoration.",但与大多数其他皇家陵墓相比，图坦卡蒙陵墓几乎不值得参观，因为它的规模要小得多，装饰也平淡无奇。,相較於大多數的皇陵，小而簡約的圖坦卡門墓穴顯得幾乎不值一顧。
Anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible.,如果有人想着去看这具木乃伊从棺材中移出来时受到损坏，那么这些人可要大失所望了，因为大家只能看到木乃伊的头部和肩膀。,若有任何人想要看當初人們因為試圖把木乃伊移出棺木而造成的損壞，他們只會大失所望，因為他們只能看見木乃伊的頭和肩膀。
"The fabulous riches of the tomb are no longer in it, but have been removed to the Egyptian Museum in Cairo.",古墓里的巨额财富已不在墓中，而是转移到了开罗的埃及博物馆。,陵墓裡各種令人歎為觀止的財富已不在陵墓內，而是被移往在開羅的埃及博物館。
Visitors with limited time would be best to spend their time elsewhere.,时间有限的游客最好选择其他去处。,時間不充裕的旅客，最好把時間花在其他地方。
"Phnom Krom, 12 km southwest of Siem Reap. This hilltop temple was built at the end of the 9th century, during the reign of King Yasovarman.",格罗姆寺位于暹粒市西南 12 公里处。这座山顶寺庙建于 9 世纪末耶输跋摩国王统治时期。,豬山寺廟位於暹粒市西南方 12 公里處。這座山頂上的寺廟建於 9 世紀末，時值耶輸跋摩國王統治時期。
The gloomy atmosphere of the temple and the view over the Tonle Sap lake make the climb to the hill worthwhile.,寺庙阴郁的氛围和洞里萨湖（Tonle Sap）的景色，让人感到爬到山顶是值得的。,神廟陰鬱的氣氛和洞里薩湖的美景，讓攀登到山頂的這段路程值回票價。
